Total Citation,No Citations,paper file name,author,subject,createdDate,url,error message
"30","2.3077","DAC-2004-10(06)-0484.PDF","Sanghamitra Roy, Prith Banerjee","An Algorithm for Converting Floating-Point Computations to Fixed-Point in MATLAB based FPGA design","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=An+Algorithm+for+Converting+Floating-Point+Computations+to+Fixed-Point+in+MATLAB+based+FPGA+design%22+author%3D%22Sanghamitra+Roy%2C+Prith+Banerjee%22&btnG=",""
"11","0.8462","DAC-2004-10(06)-0510.PDF","Sungju Park, Sangwook Cho, Seiyang Yang, Maciej Ciesielski","A New State Assignment Technique for Testing and Low Power","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=A+New+State+Assignment+Technique+for+Testing+and+Low+Power%22+author%3D%22Sungju+Park%2C+Sangwook+Cho%2C+Seiyang+Yang%2C+Maciej+Ciesielski%22&btnG=",""
"30","2.3077","DAC-2004-10(06)-0504.PDF","Wei Li, Sudhakar M. Reddy, Irith Pomeranz","On Test Generation for Transition Faults with Minimized Peak Power Dissipation","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=On+Test+Generation+for+Transition+Faults+with+Minimized+Peak+Power+Dissipation%22+author%3D%22Wei+Li%2C+Sudhakar+M.+Reddy%2C+Irith+Pomeranz%22&btnG=",""
"26","2.0000","DAC-2004-10(06)-0488.PDF","Marghoob Mohiyuddin, Amit Prakash, Adnan Aziz, Wayne Wolf","Synthesizing Interconnect-Efficient Low Density Parity Check Codes","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Synthesizing+Interconnect-Efficient+Low+Density+Parity+Check+Codes%22+author%3D%22Marghoob+Mohiyuddin%2C+Amit+Prakash%2C+Adnan+Aziz%2C+Wayne+Wolf%22&btnG=",""
"161","12.3846","DAC-2004-10(06)-0530.PDF","Paul T. Darga, Mark H. Liffiton, Karem A. Sakallah, and Igor L. Markov","Exploiting Structure in Symmetry Detection for CNF","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Exploiting+Structure+in+Symmetry+Detection+for+CNF%22+author%3D%22Paul+T.+Darga%2C+Mark+H.+Liffiton%2C+Karem+A.+Sakallah%2C+and+Igor+L.+Markov%22&btnG=",""
"25","1.9231","DAC-2004-10(06)-0535.PDF","Chao Wang, HoonSang Jin, Gary D. Hachtel, Fabio Somenzi","Refining the SAT Decision Ordering for Bounded Model Checking","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Refining+the+SAT+Decision+Ordering+for+Bounded+Model+Checking%22+author%3D%22Chao+Wang%2C+HoonSang+Jin%2C+Gary+D.+Hachtel%2C+Fabio+Somenzi%22&btnG=",""
"30","2.3077","DAC-2004-10(06)-0550.PDF","Ying Zhang, Robert Dick, Krishnendu Chakrabarty","Energy-Aware Deterministic Fault Tolerance in Distributed Real-Time Embedded Systems","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Energy-Aware+Deterministic+Fault+Tolerance+in+Distributed+Real-Time+Embedded+Systems%22+author%3D%22Ying+Zhang%2C+Robert+Dick%2C+Krishnendu+Chakrabarty%22&btnG=",""
"7","0.5385","DAC-2004-10(06)-0539.PDF","Demosthenes Anastasakis, Lisa McIlwain, Slawomir Pilarski","Efficient Equivalence Checking with Partitions and Hierarchical Cut-points","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Efficient+Equivalence+Checking+with+Partitions+and+Hierarchical+Cut-points%22+author%3D%22Demosthenes+Anastasakis%2C+Lisa+McIlwain%2C+Slawomir+Pilarski%22&btnG=",""
"140","10.7692","DAC-2004-10(09)-0834.PDF","Pawel Kerntopf","A New Heuristic Algorithm for Reversible Logic Synthesis","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=A+New+Heuristic+Algorithm+for+Reversible+Logic+Synthesis%22+author%3D%22Pawel+Kerntopf%22&btnG=",""
"7","0.5385","DAC-2004-10(09)-0820.PDF","Aiqun Cao and Cheng-Kok Koh","Post-Layout Logic Optimization of Domino Circuits","2004","http://scholar.google.com/scholar?start=0&num=1&hl=en&as_sdt=0&q=as_subj%3D%22=Post-Layout+Logic+Optimization+of+Domino+Circuits%22+author%3D%22Aiqun+Cao+and+Cheng-Kok+Koh%22&btnG=",""
